Date,Budget,Cost,Revenue,Net Profit,Current Assets,Current Liabilities,Trade,Category,Product,Region
01-01-2024,5000,2000,7000.00,1500,30000,15000,Operational,Category A,Product A,North
01-02-2024,5200,2200,7500.00,1600,31000,15500,Operational,Category B,Product B,South
01-03-2024,5300,2100,7400.00,1550,32000,16000,Marketing,Category C,Product C,East
01-04-2024,5400,2300,7600.00,1650,33000,16500,Operational,Category A,Product A,West
01-05-2024,5500,2400,7700.00,1700,34000,17000,Marketing,Category B,Product B,North
01-06-2024,5600,2500,7800.00,1750,35000,17500,Operational,Category C,Product C,South
01-07-2024,5700,2600,7900.00,1800,36000,18000,Operational,Category A,Product A,East
01-08-2024,5800,2700,8000.00,1850,37000,18500,Marketing,Category B,Product B,West
01-09-2024,5900,2800,8100.00,1900,38000,19000,Operational,Category C,Product C,North
01-10-2024,6000,2900,8200.00,1950,39000,19500,Operational,Category A,Product A,South
01-11-2024,6100,3000,8300.00,2000,40000,20000,Marketing,Category B,Product B,East
01-12-2024,6200,3100,8400.00,2050,41000,20500,Operational,Category C,Product C,West
02-01-2024,5050,2020,7050.00,1550,30500,15200,Operational,Category A,Product A,North
02-02-2024,5250,2220,7550.00,1650,31500,15700,Operational,Category B,Product B,South
02-03-2024,5350,2120,7450.00,1600,32500,16200,Marketing,Category C,Product C,East
02-04-2024,5450,2320,7650.00,1700,33500,16700,Operational,Category A,Product A,West
02-05-2024,5550,2420,7750.00,1750,34500,17200,Marketing,Category B,Product B,North
02-06-2024,5650,2520,7850.00,1800,35500,17700,Operational,Category C,Product C,South
02-07-2024,5750,2620,7950.00,1850,36500,18200,Operational,Category A,Product A,East
02-08-2024,5850,2720,8050.00,1900,37500,18700,Marketing,Category B,Product B,West
02-09-2024,5950,2820,8150.00,1950,38500,19200,Operational,Category C,Product C,North
02-10-2024,6050,2920,8250.00,2000,39500,19700,Operational,Category A,Product A,South
02-11-2024,6150,3020,8350.00,2050,40500,20200,Marketing,Category B,Product B,East
02-12-2024,6250,3120,8450.00,2100,41500,20700,Operational,Category C,Product C,West
03-01-2024,5100,2050,7100.00,1550,31000,15500,Operational,Category A,Product A,North
03-02-2024,5300,2250,7600.00,1600,32000,16000,Operational,Category B,Product B,South
03-03-2024,5400,2150,7500.00,1550,33000,16500,Marketing,Category C,Product C,East
03-04-2024,5500,2350,7700.00,1650,34000,17000,Operational,Category A,Product A,West
03-05-2024,5600,2450,7800.00,1700,35000,17500,Marketing,Category B,Product B,North
03-06-2024,5700,2550,7900.00,1750,36000,18000,Operational,Category C,Product C,South
03-07-2024,5800,2650,8000.00,1800,37000,18500,Operational,Category A,Product A,East
03-08-2024,5900,2750,8100.00,1850,38000,19000,Marketing,Category B,Product B,West
03-09-2024,6000,2850,8200.00,1900,39000,19500,Operational,Category C,Product C,North
03-10-2024,6100,2950,8300.00,1950,40000,20000,Operational,Category A,Product A,South
03-11-2024,6200,3050,8400.00,2000,41000,20500,Marketing,Category B,Product B,East
03-12-2024,6300,3150,8500.00,2050,42000,21000,Operational,Category C,Product C,West
04-01-2024,5150,2070,7150.00,1550,31500,15700,Operational,Category A,Product A,North
04-02-2024,5350,2270,7650.00,1600,32500,16200,Operational,Category B,Product B,South
04-03-2024,5450,2170,7550.00,1550,33500,16700,Marketing,Category C,Product C,East
